"Mineral Name","IMA Chemistry (plain)","IMA Chemistry (concise)"
"Abellaite","NaPb2(CO3)2(OH)","NaPb_2_(CO_3_)_2_(OH)"
"Abelsonite","NiC31H32N4","NiC_31_H_32_N_4_"
"Abenakiite-(Ce)","Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O","Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O"
"Abernathyite","K(UO2)(AsO4)·3H2O","K(UO_2_)(AsO_4_)·3H_2_O"
"Abhurite","Sn2+21O6(OH)14Cl16","Sn^2+^_21_O_6_(OH)_14_Cl_16_"
"Abramovite","Pb2SnInBiS7","Pb_2_SnInBiS_7_"
"Abswurmbachite","Cu2+Mn3+6O8(SiO4)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)"
"Abuite","CaAl2(PO4)2F2","CaAl_2_(PO_4_)_2_F_2_"
"Acanthite","Ag2S","Ag_2_S"
"Acetamide","CH3CONH2","CH_3_CONH_2_"
"Achalaite","Fe2+TiNb2O8","Fe^2+^TiNb_2_O_8_"
"Achávalite","FeSe","FeSe"
"Achyrophanite","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(AsO_4_)_5_"
"Acmonidesite","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","(NH_4_,K,Pb,Na)_9_Fe^2+^_4_(SO_4_)_5_Cl_8_"
"Actinolite","[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_"
"Acuminite","SrAlF4(OH)·H2O","SrAlF_4_(OH)·H_2_O"
"Adachiite","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)"
"Adamite","Zn2(AsO4)(OH)","Zn_2_(AsO_4_)(OH)"
"Adamsite-(Y)","NaY(CO3)2·6H2O","NaY(CO_3_)_2_·6H_2_O"
"Adanite","Pb2(Te4+O3)(SO4)","Pb_2_(Te^4+^O_3_)(SO_4_)"
"Addibischoffite","Ca2Al6Al6O20","Ca_2_Al_6_Al_6_O_20_"
"Adelite","CaMg(AsO4)(OH)","CaMg(AsO_4_)(OH)"
"Admontite","MgB6O10·7H2O","MgB_6_O_10_·7H_2_O"
"Adolfpateraite","K(UO2)(SO4)(OH)(H2O)","K(UO_2_)(SO_4_)(OH)(H_2_O)"
"Adranosite","(NH4)4NaAl2(SO4)4Cl(OH)2","(NH_4_)_4_NaAl_2_(SO_4_)_4_Cl(OH)_2_"
"Adranosite-(Fe)","(NH4)4NaFe2(SO4)4Cl(OH)2","(NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_"
"Adrianite","Ca12(Al4Mg3Si7)O32Cl6","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_"
"Aegirine","NaFe3+Si2O6","NaFe^3+^Si_2_O_6_"
"Aegirine-augite","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
"Aenigmatite","Na4[Fe2+10Ti2]O4[Si12O36]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]"
"Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
"Aerugite","Ni8.5(AsO4)2As5+O8","Ni_8.5_(AsO_4_)_2_As^5+^O_8_"
"Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_"
"Aeschynite-(Nd)","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6","(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_"
"Aeschynite-(Y)","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6","(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_"
"Afghanite","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_"
"Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O"
"Afwillite","Ca3[SiO4][SiO2(OH)2]·2H2O","Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O"
"Agaite","Pb3Cu2+Te6+O5(OH)2(CO3)","Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)"
"Agakhanovite-(Y)","YCa[box]2KBe3Si12O30","YCa[box]_2_KBe_3_Si_12_O_30_"
"Agardite-(Ce)","CeCu2+6(AsO4)3(OH)6·3H2O","CeCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(La)","LaCu2+6(AsO4)3(OH)6·3H2O","LaCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(Nd)","NdCu2+6(AsO4)3(OH)6·3H2O","NdCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(Y)","YCu2+6(AsO4)3(OH)6·3H2O","YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agmantinite","Ag2MnSnS4","Ag_2_MnSnS_4_"
"Agrellite","NaCa2Si4O10F","NaCa_2_Si_4_O_10_F"
"Agricolaite","K4(UO2)(CO3)3","K_4_(UO_2_)(CO_3_)_3_"
"Agrinierite","K2Ca[(UO2)3O3(OH)2]2·5H2O","K_2_Ca[(UO_2_)_3_O_3_(OH)_2_]_2_·5H_2_O"
"Aguilarite","Ag4SeS","Ag_4_SeS"
"Aheylite","Fe2+Al6(PO4)4(OH)8·4H2O","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O"
"Ahlfeldite","Ni(SeO3)·2H2O","Ni(SeO_3_)·2H_2_O"
"Ahrensite","SiFe2O4","SiFe_2_O_4_"
"Aikinite","CuPbBiS3","CuPbBiS_3_"
"Aiolosite","Na2(Na2Bi)(SO4)3Cl","Na_2_(Na_2_Bi)(SO_4_)_3_Cl"
"Airdite","Sr(V4+O)2(PO4)2·4H2O","Sr(V^4+^O)_2_(PO_4_)_2_·4H_2_O"
"Ajoite","K3Cu2+20Al3Si29O76(OH)16·8H2O","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O"
"Akaganeite","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O"
"Akaogiite","TiO2","TiO_2_"
"Akatoreite","Mn2+9Al2Si8O24(OH)8","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_"
"Akdalaite","Al10O14(OH)2","Al_10_O_14_(OH)_2_"
"Åkermanite","Ca2MgSi2O7","Ca_2_MgSi_2_O_7_"
"Akhtenskite","MnO2","MnO_2_"
"Akimotoite","MgSiO3","MgSiO_3_"
"Aklimaite","Ca4[Si2O5(OH)2](OH)4·5H2O","Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O"
"Akopovaite","Al4Li2(OH)12(CO3)(H2O)3","Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_"
"Akrochordite","MnMn2Mn2(AsO4)2(OH)4(H2O)4","MnMn_2_Mn_2_(AsO_4_)_2_(OH)_4_(H_2_O)_4_"
"Aksaite","MgB6O7(OH)6·2H2O","MgB_6_O_7_(OH)_6_·2H_2_O"
"Aktashite","Cu6Hg3As4S12","Cu_6_Hg_3_As_4_S_12_"
"Alabandite","MnS","MnS"
"Alacránite","As8S9","As_8_S_9_"
"Alamosite","PbSiO3","PbSiO_3_"
"Alarsite","Al(AsO4)","Al(AsO_4_)"
